project_id,author_id,total_commit_author,total_commit_project,percent,contributor,major,minor
47838894,38647626,1,1792,0.055803571428571425,Minor,1,109
47838894,38781982,2,1792,0.11160714285714285,Minor,1,109
47838894,39172433,2,1792,0.11160714285714285,Minor,1,109
47838894,40199093,1,1792,0.055803571428571425,Minor,1,109
47838894,40432976,3,1792,0.16741071428571427,Minor,1,109
47838894,41853164,1,1792,0.055803571428571425,Minor,1,109
47838894,41863985,1,1792,0.055803571428571425,Minor,1,109
47838894,42438677,1,1792,0.055803571428571425,Minor,1,109
47838894,42587780,1,1792,0.055803571428571425,Minor,1,109
47838894,42603186,1,1792,0.055803571428571425,Minor,1,109
47838894,42660206,1,1792,0.055803571428571425,Minor,1,109
47838894,42914944,4,1792,0.2232142857142857,Minor,1,109
47838894,45211096,1,1792,0.055803571428571425,Minor,1,109
47838894,47212683,1,1792,0.055803571428571425,Minor,1,109
47838894,50237778,1,1792,0.055803571428571425,Minor,1,109
51732151,978514,24,492,4.878048780487805,Minor,3,1
51732151,5024030,112,492,22.76422764227642,Major,3,1
51732151,32434697,248,492,50.40650406504065,Major,3,1
51732151,32512199,108,492,21.951219512195124,Major,3,1
52512066,2544745,1829,1829,100.0,Major,1,0
56604179,226573,1147,1147,100.0,Major,1,0
