,project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
107,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,49,30,34,8,0,7,8,7,2,12,10,20,14,30,114.221,1.66667,190.368,A,76.306,/home/senior/senior/all_metric/56604179/92.csv
108,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,299,97,92,16,110,79,18,21,8,28,16,29,36,45,232.647,4.14286,963.822,A,57.0094,/home/senior/senior/all_metric/56604179/63.csv
109,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,27,7,6,10,6,7,8,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/54.csv
110,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,15,1,0,8,4,3,8,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/36.csv
111,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,145,95,80,2,49,14,2,22,1,6,4,8,7,12,33.6883,0.666667,22.4588,A,72.4756,/home/senior/senior/all_metric/51732151/42.csv
112,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,207,134,133,25,0,57,17,46,4,59,32,63,63,95,567.842,2.13559,1212.68,A,48.9841,/home/senior/senior/all_metric/51732151/8.csv
113,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,204,150,150,2,0,52,2,33,1,2,1,2,3,3,4.75489,0.5,2.37744,A,50.8183,/home/senior/senior/all_metric/51732151/14.csv
114,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,84,49,55,5,13,11,5,11,2,14,7,14,16,21,84,1,84,A,75.5407,/home/senior/senior/all_metric/51732151/50.csv
115,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,210,154,154,11,0,45,11,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,/home/senior/senior/all_metric/51732151/7.csv
116,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,207,153,152,1,4,50,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,/home/senior/senior/all_metric/51732151/12.csv
