project_id,add,delete,churn,pathname
31069027,29,0,29,partner_risk_insurance/migrations/8.0.2.0.0/post-migration.py
31069027,23,0,23,partner_risk_insurance/migrations/8.0.2.0.0/pre-migration.py
31069027,14,15,29,partner_risk_insurance/models/res_partner.py
31069027,24,0,24,picking_invoice_pending/__init__.py
31069027,43,0,43,picking_invoice_pending/__openerp__.py
31069027,101,0,101,picking_invoice_pending/account_invoice.py
31069027,41,0,41,picking_invoice_pending/res_company.py
31069027,154,0,154,picking_invoice_pending/stock_picking.py
31069027,1,1,2,l10n_es_intrastat/__openerp__.py
31069027,1,1,2,l10n_es_intrastat/__openerp__.py
